Sensor,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
Eye Tracker,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Invalid,Invalid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EyesNotFound,8.0,42.0,0.0,0.0,0,0
Eye Tracker,351.0,244.0,360.0,291.0,341.0,197.0,"-0,28193","-0,01475","-0,95932","-0,39689","-0,07043","-0,91516",0,0,Valid,Valid,"242,2","87,2","487,8","301,9","90,8","480,6","98,8","79,7","93,5","53,8","0,1334","0,2259","0,1392","0,2697","0,1275","0,1822",Unclassified,17.0,52.0,0.0,0.0,0,0
Eye Tracker,350.0,204.0,0.0,0.0,350.0,204.0,0,0,0,"-0,39347","-0,06730","-0,91687",0,"2,54",Invalid,Valid,0,0,0,"302,2","91,2","480,7",0,0,"95,9","55,9","0,1328","0,1891",0,0,"0,1328","0,1891",Unclassified,17.0,52.0,0.0,0.0,0,0
Eye Tracker,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Invalid,Invalid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EyesNotFound,8.0,43.0,0.0,0.0,0,0
Eye Tracker,366.0,184.0,374.0,186.0,358.0,183.0,"-0,27512","-0,07142","-0,95875","-0,39042","-0,07855","-0,91728",0,0,Valid,Valid,"242,8","87,3","488,8","303,0","91,3","481,1","102,6","50,9","98,2","50,1","0,1427","0,1708","0,1475","0,1721","0,1379","0,1695",Unclassified,17.0,53.0,0.0,0.0,0,0
Eye Tracker,340.0,170.0,0.0,0.0,340.0,170.0,0,0,0,"-0,39859","-0,08523","-0,91316",0,"2,59",Invalid,Valid,0,0,0,"303,3","91,5","481,5",0,0,"93,1","46,6","0,1267","0,1577",0,0,"0,1267","0,1577",Unclassified,17.0,53.0,0.0,0.0,0,0
Eye Tracker,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Invalid,Invalid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EyesNotFound,8.0,44.0,0.0,0.0,0,0
Eye Tracker,358.0,213.0,381.0,246.0,335.0,180.0,"-0,27359","-0,04054","-0,96099","-0,40151","-0,07984","-0,91237",0,0,Valid,Valid,"243,5","87,9","488,5","304,1","91,5","482,3","104,4","67,3","91,8","49,2","0,1377","0,1972","0,1514","0,2278","0,1239","0,1666",Unclassified,17.0,54.0,0.0,0.0,0,0
Eye Tracker,359.0,211.0,381.0,246.0,337.0,176.0,"-0,27470","-0,04288","-0,96057","-0,40039","-0,08154","-0,91271","2,75","2,60",Valid,Valid,"244,3","89,2","489,2","304,4","91,5","483,3","104,4","67,3","92,4","48,3","0,1383","0,1956","0,1514","0,2278","0,1252","0,1633",Unclassified,17.0,54.0,0.0,0.0,0,0
Eye Tracker,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Invalid,Invalid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EyesNotFound,8.0,45.0,0.0,0.0,0,0
Eye Tracker,343.0,194.0,357.0,228.0,329.0,161.0,"-0,28633","-0,05099","-0,95677","-0,40373","-0,08814","-0,91062",0,0,Valid,Valid,"244,0","88,4","488,7","305,3","90,9","485,1","97,8","62,4","90,2","43,9","0,1286","0,1799","0,1370","0,2110","0,1203","0,1487",Saccade,25.0,41.0,0.0,0.0,0,0
Eye Tracker,334.0,190.0,359.0,234.0,310.0,147.0,"-0,28586","-0,04841","-0,95705","-0,41174","-0,09459","-0,90638","2,51","2,70",Valid,Valid,"244,2","88,8","488,5","305,6","90,9","486,1","98,3","64,1","84,8","40,1","0,1233","0,1764","0,1380","0,2169","0,1085","0,1358",Saccade,25.0,41.0,0.0,0.0,0,0
Eye Tracker,337.0,172.0,337.0,172.0,0.0,0.0,"-0,29645","-0,08243","-0,95149",0,0,0,0,0,Valid,Invalid,"244,6","89,4","488,5",0,0,0,"92,4","47,1",0,0,"0,1251","0,1592","0,1251","0,1592",0,0,Saccade,25.0,41.0,0.0,0.0,0,0
Eye Tracker,321.0,139.0,333.0,160.0,308.0,117.0,"-0,29245","-0,07726","-0,95315","-0,40692","-0,09784","-0,90821",0,0,Valid,Valid,"244,4","84,3","499,1","307,6","85,7","498,0","91,3","43,9","84,5","32,1","0,1153","0,1284","0,1227","0,1484","0,1079","0,1085",Unclassified,17.0,55.0,0.0,0.0,0,0
Eye Tracker,296.0,99.0,321.0,145.0,272.0,52.0,"-0,29115","-0,07167","-0,95399","-0,41493","-0,11652","-0,90236","2,66","2,82",Valid,Valid,"244,5","78,3","513,0","309,6","80,2","511,2","87,9","39,7","74,5","14,2","0,1005","0,0912","0,1152","0,1344","0,0859","0,0480",Unclassified,17.0,55.0,0.0,0.0,0,0
