Sensor,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
Eye Tracker,1062.0,363.0,884.0,394.0,1240.0,331.0,"0,02736","0,14904","-0,98845","0,07793","0,12959","-0,98850",0,0,Valid,Valid,"225,7","17,9","596,5","292,4","11,9","600,8","242,2","107,8","339,7","90,6","0,5612","0,3357","0,4542","0,3649","0,6683","0,3066",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1061.0,363.0,885.0,395.0,1238.0,332.0,"0,02786","0,14961","-0,98835","0,07706","0,12990","-0,98853",0,0,Valid,Valid,"225,6","17,7","597,0","292,3","11,8","601,1","242,4","108,0","339,2","90,8","0,5608","0,3363","0,4546","0,3655","0,6670","0,3071",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1061.0,362.0,883.0,391.0,1238.0,333.0,"0,02741","0,14830","-0,98856","0,07741","0,13052","-0,98842","4,52","4,46",Valid,Valid,"225,6","17,4","597,5","292,3","11,7","601,2","242,1","107,0","339,4","91,0","0,5607","0,3351","0,4539","0,3621","0,6676","0,3081",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1061.0,360.0,888.0,390.0,1235.0,329.0,"0,02940","0,14788","-0,98857","0,07591","0,12910","-0,98872",0,0,Valid,Valid,"225,5","17,2","597,9","292,3","11,7","601,2","243,3","106,7","338,4","90,2","0,5610","0,3330","0,4565","0,3609","0,6654","0,3051",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1058.0,362.0,887.0,377.0,1228.0,347.0,"0,02931","0,14254","-0,98936","0,07292","0,13660","-0,98794",0,0,Valid,Valid,"225,4","17,1","598,2","292,2","11,7","601,1","243,2","103,3","336,5","94,8","0,5587","0,3352","0,4562","0,3495","0,6613","0,3209",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1056.0,364.0,884.0,385.0,1229.0,343.0,"0,02775","0,14606","-0,98889","0,07357","0,13514","-0,98809","4,51","4,49",Valid,Valid,"225,4","16,9","598,5","292,1","11,8","601,0","242,2","105,3","336,9","94,0","0,5581","0,3371","0,4541","0,3564","0,6620","0,3179",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1062.0,374.0,885.0,390.0,1239.0,359.0,"0,02844","0,14822","-0,98855","0,07804","0,14209","-0,98677",0,0,Valid,Valid,"225,3","16,8","598,7","292,1","11,8","600,8","242,5","106,6","339,6","98,4","0,5614","0,3467","0,4548","0,3607","0,6680","0,3328",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1065.0,352.0,884.0,389.0,1246.0,315.0,"0,02821","0,14808","-0,98857","0,08166","0,12222","-0,98914",0,0,Valid,Valid,"225,2","16,8","598,9","291,9","11,9","600,6","242,3","106,5","341,5","86,1","0,5633","0,3258","0,4543","0,3602","0,6722","0,2915",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1064.0,350.0,885.0,382.0,1243.0,318.0,"0,02880","0,14489","-0,98903","0,08048","0,12347","-0,98908","4,54","4,46",Valid,Valid,"225,2","16,7","599,1","291,9","12,0","600,4","242,6","104,4","340,8","86,9","0,5628","0,3237","0,4550","0,3533","0,6706","0,2942",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1061.0,354.0,887.0,377.0,1236.0,331.0,"0,02964","0,14317","-0,98925","0,07726","0,12939","-0,98858",0,0,Valid,Valid,"225,1","16,6","599,2","291,9","12,1","600,2","243,1","103,3","338,8","90,7","0,5611","0,3281","0,4560","0,3495","0,6661","0,3067",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1062.0,365.0,887.0,392.0,1238.0,338.0,"0,02958","0,14963","-0,98830","0,07828","0,13239","-0,98810",0,0,Valid,Valid,"225,0","16,5","599,3","291,7","12,2","600,1","243,0","107,3","339,3","92,6","0,5615","0,3381","0,4558","0,3629","0,6673","0,3132",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1061.0,366.0,885.0,393.0,1237.0,339.0,"0,02912","0,15009","-0,98824","0,07812","0,13276","-0,98806","4,53","4,48",Valid,Valid,"225,0","16,4","599,5","291,7","12,2","599,9","242,7","107,5","339,2","92,8","0,5611","0,3389","0,4551","0,3637","0,6670","0,3141",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1055.0,366.0,873.0,390.0,1236.0,341.0,"0,02366","0,14901","-0,98855","0,07748","0,13352","-0,98801",0,0,Valid,Valid,"225,0","16,4","599,7","291,7","12,3","599,8","239,3","106,8","338,7","93,4","0,5569","0,3386","0,4478","0,3613","0,6660","0,3159",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1059.0,361.0,881.0,382.0,1238.0,340.0,"0,02726","0,14563","-0,98896","0,07858","0,13280","-0,98802",0,0,Valid,Valid,"224,9","16,3","599,9","291,6","12,4","599,7","241,4","104,7","339,3","93,0","0,5598","0,3343","0,4524","0,3541","0,6672","0,3146",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1060.0,362.0,882.0,384.0,1238.0,339.0,"0,02796","0,14651","-0,98881","0,07875","0,13249","-0,98805","4,58","4,52",Valid,Valid,"224,8","16,3","600,1","291,5","12,4","599,7","241,8","105,2","339,3","92,8","0,5603","0,3349","0,4532","0,3558","0,6674","0,3141",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1061.0,364.0,886.0,384.0,1237.0,343.0,"0,02969","0,14650","-0,98876","0,07826","0,13391","-0,98790",0,0,Valid,Valid,"224,8","16,2","600,3","291,5","12,6","599,3","242,8","105,2","338,9","93,9","0,5610","0,3367","0,4555","0,3558","0,6665","0,3176",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1060.0,362.0,885.0,384.0,1234.0,341.0,"0,02951","0,14629","-0,98880","0,07739","0,13263","-0,98814",0,0,Valid,Valid,"224,7","16,2","600,5","291,3","12,8","599,1","242,6","105,0","338,3","93,2","0,5600","0,3353","0,4550","0,3553","0,6650","0,3154",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1062.0,362.0,888.0,382.0,1236.0,343.0,"0,03107","0,14546","-0,98888","0,07807","0,13368","-0,98794","4,61","4,52",Valid,Valid,"224,6","16,1","600,8","291,3","12,9","598,9","243,5","104,4","338,6","93,9","0,5614","0,3356","0,4570","0,3534","0,6659","0,3179",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1066.0,362.0,895.0,386.0,1237.0,338.0,"0,03398","0,14751","-0,98848","0,07907","0,13119","-0,98820",0,0,Valid,Valid,"224,6","16,0","601,0","291,2","13,1","598,7","245,2","105,7","339,1","92,5","0,5638","0,3354","0,4607","0,3577","0,6669","0,3131",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1062.0,362.0,888.0,384.0,1236.0,340.0,"0,03115","0,14670","-0,98869","0,07853","0,13181","-0,98816",0,0,Valid,Valid,"224,5","16,0","601,2","291,1","13,2","598,5","243,4","105,2","338,6","93,0","0,5613","0,3353","0,4567","0,3559","0,6659","0,3146",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1060.0,359.0,886.0,379.0,1233.0,338.0,"0,03039","0,14443","-0,98905","0,07745","0,13110","-0,98834","4,61","4,53",Valid,Valid,"224,4","15,9","601,4","291,0","13,2","598,5","242,9","103,8","337,9","92,6","0,5599","0,3322","0,4555","0,3510","0,6643","0,3133",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1052.0,365.0,878.0,376.0,1226.0,354.0,"0,02688","0,14285","-0,98938","0,07437","0,13812","-0,98762",0,0,Valid,Valid,"224,3","15,9","601,4","290,9","13,3","598,3","240,7","102,8","336,0","97,0","0,5554","0,3379","0,4507","0,3477","0,6601","0,3281",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1057.0,366.0,887.0,377.0,1228.0,354.0,"0,03092","0,14331","-0,98919","0,07552","0,13808","-0,98754",0,0,Valid,Valid,"224,2","15,9","601,5","290,8","13,3","598,3","243,0","103,1","336,6","97,0","0,5586","0,3384","0,4558","0,3487","0,6613","0,3282",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1059.0,368.0,886.0,379.0,1232.0,358.0,"0,03068","0,14430","-0,98906","0,07757","0,13965","-0,98716","4,64","4,64",Valid,Valid,"224,1","15,9","601,6","290,8","13,4","598,2","242,8","103,7","337,8","98,0","0,5597","0,3411","0,4554","0,3507","0,6640","0,3315",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1061.0,370.0,889.0,387.0,1233.0,352.0,"0,03220","0,14796","-0,98847","0,07807","0,13693","-0,98750",0,0,Valid,Valid,"224,1","15,9","601,6","290,7","13,4","598,2","243,7","106,0","338,0","96,4","0,5609","0,3423","0,4573","0,3586","0,6644","0,3260",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1058.0,374.0,887.0,388.0,1230.0,359.0,"0,03161","0,14843","-0,98842","0,07666","0,14007","-0,98717",0,0,Valid,Valid,"223,9","16,0","601,6","290,6","13,4","598,2","243,2","106,3","337,0","98,3","0,5592","0,3462","0,4562","0,3597","0,6623","0,3327",Fixation,275.0,11.0,1061.0,362.0,"0,5608","0,3352"
Eye Tracker,1040.0,370.0,870.0,384.0,1211.0,357.0,"0,02408","0,14635","-0,98894","0,06855","0,13917","-0,98789","4,69","4,59",Valid,Valid,"223,7","16,0","601,6","290,4","13,4","598,1","238,4","105,0","331,9","97,7","0,5483","0,3429","0,4457","0,3553","0,6510","0,3306",Saccade,42.0,22.0,0.0,0.0,0,0
Eye Tracker,1009.0,365.0,834.0,378.0,1183.0,352.0,"0,00829","0,14377","-0,98958","0,05649","0,13680","-0,98899",0,0,Valid,Valid,"223,6","16,0","601,5","290,1","13,5","598,1","228,6","103,4","324,3","96,2","0,5293","0,3377","0,4243","0,3500","0,6343","0,3255",Saccade,42.0,22.0,0.0,0.0,0,0
Eye Tracker,960.0,356.0,781.0,380.0,1138.0,333.0,"-0,01543","0,14441","-0,98940","0,03652","0,12852","-0,99103",0,0,Valid,Valid,"223,4","16,1","601,5","290,0","13,5","598,1","214,0","103,9","312,0","91,0","0,4998","0,3297","0,3922","0,3514","0,6074","0,3080",Saccade,42.0,22.0,0.0,0.0,0,0
Eye Tracker,927.0,334.0,733.0,375.0,1121.0,293.0,"-0,03685","0,14222","-0,98915","0,02871","0,11073","-0,99344","4,66","4,66",Valid,Valid,"223,4","16,0","601,6","289,9","13,4","598,1","201,0","102,5","307,2","80,1","0,4802","0,3090","0,3636","0,3469","0,5968","0,2710",Saccade,42.0,22.0,0.0,0.0,0,0
Eye Tracker,906.0,355.0,730.0,372.0,1083.0,339.0,"-0,03849","0,14095","-0,98927","0,01124","0,13143","-0,99126",0,0,Valid,Valid,"223,4","16,0","601,7","289,9","13,4","598,0","199,9","101,7","296,7","92,7","0,4675","0,3290","0,3613","0,3443","0,5737","0,3138",Saccade,42.0,22.0,0.0,0.0,0,0
Eye Tracker,900.0,369.0,730.0,388.0,1070.0,351.0,"-0,03801","0,14812","-0,98824","0,00556","0,13682","-0,99058",0,0,Valid,Valid,"223,2","15,9","601,7","289,8","13,4","598,0","200,1","106,1","293,2","96,0","0,4638","0,3420","0,3616","0,3591","0,5660","0,3249",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,901.0,367.0,737.0,387.0,1065.0,347.0,"-0,03465","0,14806","-0,98837","0,00368","0,13535","-0,99079","4,66","4,71",Valid,Valid,"223,2","15,8","601,8","289,8","13,4","597,9","202,1","106,0","292,0","95,1","0,4647","0,3402","0,3659","0,3587","0,5634","0,3217",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,903.0,368.0,735.0,393.0,1071.0,343.0,"-0,03561","0,15058","-0,98796","0,00635","0,13337","-0,99105",0,0,Valid,Valid,"223,1","15,9","601,8","289,7","13,4","597,8","201,4","107,6","293,5","93,9","0,4657","0,3408","0,3646","0,3640","0,5668","0,3176",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,906.0,357.0,737.0,374.0,1075.0,340.0,"-0,03469","0,14219","-0,98923","0,00858","0,13192","-0,99122",0,0,Valid,Valid,"223,0","15,8","601,8","289,6","13,5","597,7","201,9","102,3","294,8","93,0","0,4675","0,3305","0,3656","0,3463","0,5695","0,3147",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,913.0,359.0,739.0,379.0,1087.0,340.0,"-0,03371","0,14421","-0,98897","0,01363","0,13202","-0,99115","4,64","4,54",Valid,Valid,"223,0","15,9","601,7","289,6","13,4","597,6","202,5","103,6","297,8","93,0","0,4715","0,3327","0,3668","0,3505","0,5761","0,3148",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,910.0,357.0,734.0,377.0,1086.0,337.0,"-0,03571","0,14321","-0,98905","0,01370","0,13071","-0,99133",0,0,Valid,Valid,"223,0","16,0","601,5","289,5","13,5","597,5","201,3","103,1","297,8","92,3","0,4702","0,3305","0,3642","0,3488","0,5761","0,3122",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,912.0,361.0,735.0,382.0,1089.0,340.0,"-0,03500","0,14563","-0,98872","0,01514","0,13197","-0,99114",0,0,Valid,Valid,"222,9","16,1","601,3","289,4","13,5","597,5","201,6","104,7","298,6","93,0","0,4714","0,3345","0,3649","0,3541","0,5779","0,3148",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,915.0,361.0,739.0,383.0,1091.0,339.0,"-0,03359","0,14588","-0,98873","0,01595","0,13162","-0,99117","4,58","4,49",Valid,Valid,"222,9","16,2","601,0","289,4","13,5","597,5","202,4","104,9","299,0","92,8","0,4728","0,3344","0,3668","0,3549","0,5789","0,3140",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,923.0,366.0,747.0,386.0,1098.0,346.0,"-0,02971","0,14706","-0,98868","0,01927","0,13450","-0,99073",0,0,Valid,Valid,"222,9","16,4","600,6","289,4","13,5","597,4","204,9","105,8","301,0","94,6","0,4777","0,3389","0,3721","0,3578","0,5833","0,3200",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,923.0,369.0,749.0,391.0,1096.0,347.0,"-0,02883","0,14878","-0,98845","0,01838","0,13506","-0,99067",0,0,Valid,Valid,"222,8","16,6","600,2","289,4","13,5","597,5","205,3","107,0","300,5","94,9","0,4776","0,3416","0,3731","0,3619","0,5820","0,3212",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,919.0,369.0,746.0,389.0,1092.0,350.0,"-0,03027","0,14755","-0,98859","0,01645","0,13649","-0,99051","4,46","4,52",Valid,Valid,"222,9","16,8","599,7","289,4","13,4","597,5","204,5","106,4","299,3","95,8","0,4754","0,3419","0,3713","0,3599","0,5795","0,3240",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,916.0,364.0,741.0,390.0,1091.0,338.0,"-0,03283","0,14764","-0,98850","0,01611","0,13102","-0,99125",0,0,Valid,Valid,"222,9","17,2","599,2","289,4","13,5","597,5","203,0","106,7","299,1","92,4","0,4735","0,3368","0,3680","0,3609","0,5790","0,3127",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,914.0,363.0,739.0,395.0,1090.0,330.0,"-0,03367","0,14957","-0,98818","0,01556","0,12771","-0,99169",0,0,Valid,Valid,"222,9","17,4","598,7","289,3","13,4","597,6","202,5","108,0","298,7","90,4","0,4725","0,3357","0,3668","0,3655","0,5782","0,3058",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,914.0,364.0,739.0,402.0,1090.0,327.0,"-0,03368","0,15235","-0,98775","0,01545","0,12649","-0,99185","4,43","4,40",Valid,Valid,"222,9","17,6","598,3","289,3","13,4","597,7","202,5","109,9","298,7","89,6","0,4725","0,3375","0,3669","0,3718","0,5781","0,3031",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,932.0,356.0,743.0,402.0,1121.0,311.0,"-0,03186","0,15241","-0,98780","0,02994","0,11896","-0,99245",0,0,Valid,Valid,"222,9","17,9","597,8","289,3","13,3","597,8","203,6","110,1","307,4","85,0","0,4832","0,3301","0,3693","0,3726","0,5972","0,2875",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,919.0,370.0,740.0,397.0,1098.0,343.0,"-0,03317","0,15002","-0,98813","0,01939","0,13374","-0,99083",0,0,Valid,Valid,"222,8","18,1","597,5","289,3","13,3","597,9","202,8","108,8","301,0","94,0","0,4753","0,3430","0,3675","0,3680","0,5832","0,3180",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,921.0,375.0,743.0,399.0,1100.0,350.0,"-0,03164","0,15075","-0,98807","0,02004","0,13689","-0,99038","4,33","4,37",Valid,Valid,"222,8","18,2","597,2","289,3","13,2","598,0","203,7","109,3","301,4","95,9","0,4768","0,3471","0,3695","0,3698","0,5841","0,3244",Fixation,142.0,12.0,914.0,365.0,"0,4721","0,3378"
Eye Tracker,911.0,373.0,734.0,401.0,1088.0,345.0,"-0,03605","0,15123","-0,98784","0,01486","0,13461","-0,99079",0,0,Valid,Valid,"222,8","18,4","596,9","289,3","13,2","598,1","201,1","109,7","298,2","94,5","0,4704","0,3454","0,3638","0,3713","0,5771","0,3196",Saccade,17.0,23.0,0.0,0.0,0,0
Eye Tracker,926.0,349.0,739.0,407.0,1112.0,291.0,"-0,03333","0,15383","-0,98753","0,02588","0,11035","-0,99356",0,0,Valid,Valid,"222,8","18,4","596,8","289,2","13,2","598,3","202,6","111,4","304,8","79,6","0,4794","0,3231","0,3672","0,3770","0,5916","0,2693",Saccade,17.0,23.0,0.0,0.0,0,0
Eye Tracker,927.0,349.0,739.0,406.0,1114.0,291.0,"-0,03335","0,15350","-0,98759","0,02666","0,11042","-0,99353","4,30","4,36",Valid,Valid,"222,8","18,5","596,7","289,3","13,1","598,4","202,6","111,2","305,3","79,6","0,4799","0,3228","0,3672","0,3763","0,5927","0,2692",Unclassified,8.0,11.0,0.0,0.0,0,0
Eye Tracker,929.0,344.0,744.0,407.0,1114.0,280.0,"-0,03129","0,15389","-0,98759","0,02654","0,10585","-0,99403",0,0,Valid,Valid,"222,8","18,5","596,6","289,3","13,0","598,5","203,9","111,5","305,2","76,8","0,4813","0,3185","0,3700","0,3773","0,5925","0,2597",Saccade,33.0,24.0,0.0,0.0,0,0
Eye Tracker,908.0,364.0,731.0,394.0,1085.0,334.0,"-0,03699","0,14787","-0,98832","0,01368","0,12978","-0,99145",0,0,Valid,Valid,"222,8","18,5","596,7","289,2","13,0","598,6","200,4","107,8","297,5","91,3","0,4689","0,3369","0,3624","0,3647","0,5755","0,3090",Saccade,33.0,24.0,0.0,0.0,0,0
Eye Tracker,911.0,360.0,733.0,388.0,1090.0,332.0,"-0,03633","0,14536","-0,98871","0,01546","0,12915","-0,99150","4,25","4,30",Valid,Valid,"222,8","18,5","596,7","289,3","12,9","598,7","200,9","106,2","298,6","90,9","0,4706","0,3334","0,3633","0,3593","0,5780","0,3075",Saccade,33.0,24.0,0.0,0.0,0,0
Eye Tracker,913.0,379.0,746.0,406.0,1080.0,353.0,"-0,03032","0,15318","-0,98773","0,01100","0,13858","-0,99029",0,0,Valid,Valid,"222,9","18,5","596,8","289,3","12,9","598,7","204,5","111,0","295,9","96,7","0,4717","0,3513","0,3714","0,3756","0,5721","0,3270",Saccade,33.0,24.0,0.0,0.0,0,0
