Sensor,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
Eye Tracker,1160.0,476.0,1101.0,497.0,1219.0,455.0,"0,22810","0,12906","-0,96505","0,15749","0,10438","-0,98199","5,16","4,78",Valid,Valid,"188,8","72,1","477,7","255,9","72,6","487,5","301,7","135,9","334,0","124,4","0,6202","0,4405","0,5847","0,4599","0,6558","0,4210",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1161.0,474.0,1101.0,497.0,1220.0,452.0,"0,22867","0,12853","-0,96498","0,15842","0,10258","-0,98203",0,0,Valid,Valid,"188,7","72,3","477,7","255,7","72,8","487,5","301,9","135,9","334,3","123,7","0,6208","0,4393","0,5851","0,4599","0,6564","0,4186",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1157.0,469.0,1092.0,488.0,1221.0,450.0,"0,22445","0,12342","-0,96664","0,15958","0,10113","-0,98199",0,0,Valid,Valid,"188,4","72,5","477,8","255,5","72,9","487,7","299,4","133,5","334,8","123,2","0,6185","0,4342","0,5797","0,4517","0,6574","0,4167",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1155.0,471.0,1090.0,491.0,1221.0,450.0,"0,22332","0,12493","-0,96671","0,15950","0,10116","-0,98200","4,86","4,77",Valid,Valid,"188,3","72,6","477,9","255,4","73,0","487,9","298,7","134,4","334,6","123,2","0,6176","0,4358","0,5781","0,4547","0,6571","0,4169",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1156.0,472.0,1094.0,492.0,1218.0,451.0,"0,22570","0,12489","-0,96616","0,15822","0,10153","-0,98217",0,0,Valid,Valid,"188,1","72,8","478,0","255,2","73,1","488,0","299,8","134,6","333,8","123,5","0,6179","0,4367","0,5805","0,4555","0,6552","0,4179",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1157.0,474.0,1094.0,493.0,1220.0,455.0,"0,22635","0,12488","-0,96601","0,15956","0,10357","-0,98174",0,0,Valid,Valid,"187,8","73,0","478,1","254,9","73,1","488,2","299,9","134,8","334,3","124,6","0,6185","0,4389","0,5807","0,4561","0,6562","0,4217",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1156.0,474.0,1093.0,493.0,1220.0,456.0,"0,22599","0,12460","-0,96613","0,16007","0,10360","-0,98165","4,80","4,73",Valid,Valid,"187,6","73,1","478,3","254,7","73,1","488,5","299,5","134,8","334,4","124,7","0,6182","0,4389","0,5799","0,4561","0,6566","0,4218",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1156.0,479.0,1093.0,498.0,1220.0,460.0,"0,22642","0,12710","-0,96570","0,16027","0,10574","-0,98139",0,0,Valid,Valid,"187,4","73,3","478,3","254,5","73,2","488,6","299,6","136,2","334,3","125,8","0,6182","0,4434","0,5801","0,4610","0,6563","0,4257",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1156.0,477.0,1093.0,497.0,1220.0,458.0,"0,22670","0,12622","-0,96575","0,16085","0,10463","-0,98142",0,0,Valid,Valid,"187,1","73,4","478,5","254,2","73,2","488,9","299,4","136,0","334,4","125,3","0,6181","0,4421","0,5798","0,4600","0,6565","0,4241",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1218.0,456.0,0.0,0.0,1218.0,456.0,0,0,0,"0,15999","0,10373","-0,98165",0,"4,67",Invalid,Valid,0,0,0,"254,1","73,2","489,2",0,0,"333,8","124,9","0,6553","0,4226",0,0,"0,6553","0,4226",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1154.0,473.0,1091.0,494.0,1218.0,452.0,"0,22633","0,12430","-0,96609","0,16018","0,10125","-0,98188",0,0,Valid,Valid,"186,8","73,6","478,8","253,9","73,2","489,4","298,9","135,2","333,7","123,7","0,6168","0,4380","0,5787","0,4576","0,6550","0,4185",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1156.0,476.0,1092.0,500.0,1220.0,451.0,"0,22705","0,12711","-0,96555","0,16170","0,10075","-0,98168",0,0,Valid,Valid,"186,5","73,7","479,0","253,7","73,2","489,6","299,2","136,8","334,3","123,5","0,6178","0,4403","0,5792","0,4628","0,6564","0,4178",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1157.0,478.0,1093.0,501.0,1221.0,454.0,"0,22767","0,12764","-0,96534","0,16250","0,10234","-0,98139","4,91","4,63",Valid,Valid,"186,4","73,7","479,2","253,6","73,2","489,9","299,4","137,1","334,7","124,3","0,6185","0,4422","0,5798","0,4639","0,6572","0,4205",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1155.0,476.0,1087.0,499.0,1223.0,453.0,"0,22453","0,12653","-0,96622","0,16380","0,10174","-0,98123",0,0,Valid,Valid,"186,4","73,8","479,4","253,5","73,2","490,0","297,8","136,6","335,3","124,0","0,6174","0,4409","0,5762","0,4623","0,6586","0,4196",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1153.0,473.0,1086.0,493.0,1220.0,453.0,"0,22430","0,12298","-0,96673","0,16209","0,10142","-0,98155",0,0,Valid,Valid,"186,2","73,9","479,7","253,4","73,2","490,3","297,5","134,9","334,4","123,9","0,6160","0,4378","0,5756","0,4564","0,6565","0,4191",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1152.0,473.0,1085.0,494.0,1220.0,452.0,"0,22360","0,12343","-0,96683","0,16195","0,10094","-0,98162","4,69","4,57",Valid,Valid,"186,2","73,8","480,0","253,5","73,2","490,5","297,2","135,1","334,4","123,6","0,6157","0,4377","0,5749","0,4572","0,6565","0,4182",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1157.0,467.0,1082.0,493.0,1232.0,441.0,"0,22204","0,12287","-0,96727","0,16833","0,09500","-0,98114",0,0,Valid,Valid,"186,3","73,9","480,2","253,5","73,2","490,6","296,6","134,9","337,6","120,7","0,6186","0,4325","0,5735","0,4565","0,6636","0,4085",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1152.0,471.0,1083.0,493.0,1222.0,449.0,"0,22250","0,12276","-0,96717","0,16265","0,09932","-0,98167",0,0,Valid,Valid,"186,3","74,0","480,5","253,5","73,3","490,8","296,8","135,0","334,8","122,9","0,6157","0,4363","0,5740","0,4566","0,6574","0,4159",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1153.0,468.0,1085.0,493.0,1222.0,443.0,"0,22291","0,12319","-0,96702","0,16263","0,09604","-0,98200","4,91","4,66",Valid,Valid,"186,3","73,7","481,4","253,6","73,2","491,1","297,3","135,0","334,9","121,3","0,6164","0,4336","0,5750","0,4569","0,6577","0,4103",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1148.0,469.0,1095.0,492.0,1201.0,447.0,"0,22802","0,12187","-0,96600","0,15103","0,09789","-0,98367",0,0,Valid,Valid,"186,5","73,9","481,5","253,7","73,4","491,3","300,1","134,7","329,1","122,2","0,6131","0,4346","0,5813","0,4557","0,6449","0,4136",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1149.0,468.0,1097.0,490.0,1201.0,447.0,"0,22909","0,11952","-0,96604","0,15084","0,09753","-0,98374",0,0,Valid,Valid,"186,6","74,5","481,0","253,7","73,5","491,6","300,7","134,0","329,1","122,2","0,6137","0,4334","0,5825","0,4533","0,6449","0,4135",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1157.0,462.0,1099.0,477.0,1216.0,446.0,"0,22990","0,11220","-0,96672","0,15840","0,09716","-0,98258","4,89","4,65",Valid,Valid,"186,8","74,8","480,9","253,8","73,5","492,2","301,1","130,6","333,2","122,1","0,6187","0,4276","0,5835","0,4420","0,6539","0,4133",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1157.0,471.0,1093.0,499.0,1221.0,443.0,"0,22635","0,12290","-0,96626","0,16090","0,09472","-0,98242",0,0,Valid,Valid,"187,0","75,3","480,6","253,9","73,7","492,6","299,6","136,5","334,6","121,2","0,6186","0,4359","0,5801","0,4617","0,6570","0,4100",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1155.0,468.0,1089.0,502.0,1221.0,434.0,"0,22412","0,12415","-0,96662","0,16060","0,08962","-0,98294",0,0,Valid,Valid,"187,1","75,6","480,7","254,0","73,9","493,0","298,5","137,4","334,5","118,8","0,6173","0,4335","0,5778","0,4648","0,6568","0,4021",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1155.0,466.0,1089.0,501.0,1221.0,432.0,"0,22360","0,12328","-0,96685","0,16026","0,08786","-0,98316","4,55","4,62",Valid,Valid,"187,1","75,6","481,4","254,1","74,1","493,4","298,5","137,0","334,5","118,1","0,6173","0,4316","0,5777","0,4635","0,6569","0,3997",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1147.0,468.0,1089.0,501.0,1205.0,434.0,"0,22332","0,12357","-0,96688","0,15173","0,08847","-0,98445",0,0,Valid,Valid,"187,2","75,6","482,2","254,2","74,3","493,7","298,6","137,2","330,3","118,7","0,6127","0,4329","0,5779","0,4643","0,6476","0,4015",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1148.0,467.0,1091.0,500.0,1205.0,434.0,"0,22384","0,12267","-0,96688","0,15155","0,08806","-0,98452",0,0,Valid,Valid,"187,2","75,6","482,9","254,3","74,5","494,0","299,0","136,9","330,3","118,7","0,6132","0,4323","0,5788","0,4632","0,6476","0,4015",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1152.0,472.0,1092.0,497.0,1212.0,446.0,"0,22391","0,12081","-0,96709","0,15504","0,09453","-0,98338","4,72","4,48",Valid,Valid,"187,3","75,7","483,3","254,4","74,6","494,3","299,2","136,1","332,3","122,1","0,6156","0,4367","0,5792","0,4603","0,6520","0,4131",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1152.0,471.0,1094.0,496.0,1210.0,447.0,"0,22491","0,11972","-0,96700","0,15359","0,09445","-0,98361",0,0,Valid,Valid,"187,4","75,8","483,6","254,4","74,7","494,5","299,9","135,7","331,7","122,2","0,6156","0,4362","0,5807","0,4590","0,6505","0,4135",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1154.0,474.0,1100.0,498.0,1209.0,450.0,"0,22762","0,12059","-0,96625","0,15303","0,09613","-0,98354",0,0,Valid,Valid,"187,4","75,8","484,0","254,4","74,9","494,6","301,4","136,2","331,4","123,2","0,6170","0,4389","0,5841","0,4609","0,6499","0,4169",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1155.0,476.0,1101.0,501.0,1208.0,450.0,"0,22821","0,12217","-0,96592","0,15235","0,09608","-0,98365","4,53","4,49",Valid,Valid,"187,4","75,8","484,3","254,5","74,9","494,8","301,8","137,1","331,1","123,2","0,6172","0,4403","0,5851","0,4638","0,6494","0,4169",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
Eye Tracker,1154.0,478.0,1100.0,501.0,1208.0,455.0,"0,22718","0,12223","-0,96615","0,15197","0,09835","-0,98348",0,0,Valid,Valid,"187,5","75,9","484,5","254,5","75,0","494,9","301,4","137,2","331,0","124,5","0,6166","0,4426","0,5841","0,4642","0,6490","0,4211",Fixation,617.0,24.0,1154.0,470.0,"0,6166","0,4354"
