Sensor,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
Eye Tracker,913.0,379.0,844.0,403.0,981.0,354.0,"0,00767","0,08083","-0,99670","-0,05203","0,05094","-0,99735","3,34","3,25",Valid,Valid,"227,8","72,4","468,3","293,3","73,1","467,3","231,4","110,4","268,9","97,0","0,4716","0,3509","0,4305","0,3736","0,5127","0,3282",Fixation,1350.0,13.0,915.0,372.0,"0,4730","0,3445"
Eye Tracker,916.0,379.0,848.0,398.0,983.0,359.0,"0,00952","0,07776","-0,99693","-0,05071","0,05373","-0,99727",0,0,Valid,Valid,"227,9","72,5","468,3","293,3","73,1","467,3","232,3","109,0","269,5","98,3","0,4733","0,3508","0,4324","0,3690","0,5141","0,3326",Fixation,1350.0,13.0,915.0,372.0,"0,4730","0,3445"
Eye Tracker,917.0,378.0,852.0,399.0,983.0,357.0,"0,01208","0,07791","-0,99689","-0,05074","0,05268","-0,99732",0,0,Valid,Valid,"227,8","72,6","468,3","293,2","73,1","467,4","233,5","109,2","269,4","97,8","0,4744","0,3501","0,4349","0,3693","0,5139","0,3309",Fixation,1350.0,13.0,915.0,372.0,"0,4730","0,3445"
Eye Tracker,917.0,381.0,852.0,399.0,982.0,363.0,"0,01237","0,07821","-0,99686","-0,05135","0,05606","-0,99711","3,36","3,27",Valid,Valid,"227,8","72,5","468,3","293,2","73,0","467,6","233,6","109,3","269,2","99,3","0,4743","0,3529","0,4352","0,3697","0,5133","0,3361",Fixation,1350.0,13.0,915.0,372.0,"0,4730","0,3445"
Eye Tracker,919.0,381.0,856.0,406.0,981.0,356.0,"0,01415","0,08210","-0,99652","-0,05171","0,05196","-0,99731",0,0,Valid,Valid,"227,8","72,6","468,3","293,2","73,1","467,5","234,5","111,2","269,0","97,4","0,4750","0,3529","0,4371","0,3763","0,5129","0,3296",Fixation,1350.0,13.0,915.0,372.0,"0,4730","0,3445"
Eye Tracker,917.0,384.0,853.0,407.0,980.0,361.0,"0,01302","0,08224","-0,99653","-0,05223","0,05493","-0,99712",0,0,Valid,Valid,"227,8","72,6","468,3","293,2","73,0","467,6","233,9","111,3","268,7","98,8","0,4740","0,3554","0,4358","0,3765","0,5122","0,3342",Fixation,1350.0,13.0,915.0,372.0,"0,4730","0,3445"
Eye Tracker,918.0,382.0,855.0,403.0,981.0,362.0,"0,01392","0,08023","-0,99668","-0,05191","0,05544","-0,99711","3,36","3,26",Valid,Valid,"227,8","72,6","468,3","293,2","72,9","467,7","234,3","110,3","268,9","98,9","0,4747","0,3540","0,4368","0,3732","0,5126","0,3348",Fixation,1350.0,13.0,915.0,372.0,"0,4730","0,3445"
Eye Tracker,919.0,384.0,855.0,400.0,983.0,367.0,"0,01366","0,07853","-0,99682","-0,05071","0,05862","-0,99699",0,0,Valid,Valid,"227,8","72,7","468,3","293,2","73,0","467,6","234,2","109,6","269,5","100,4","0,4753","0,3553","0,4366","0,3708","0,5139","0,3399",Fixation,1350.0,13.0,915.0,372.0,"0,4730","0,3445"
Eye Tracker,915.0,388.0,850.0,412.0,981.0,364.0,"0,01098","0,08541","-0,99629","-0,05179","0,05711","-0,99702",0,0,Valid,Valid,"227,7","72,7","468,3","293,2","72,9","467,7","232,9","112,9","268,9","99,7","0,4732","0,3596","0,4337","0,3819","0,5127","0,3373",Fixation,1350.0,13.0,915.0,372.0,"0,4730","0,3445"
Eye Tracker,915.0,387.0,849.0,414.0,981.0,360.0,"0,01032","0,08637","-0,99621","-0,05189","0,05494","-0,99714","3,39","3,27",Valid,Valid,"227,8","72,7","468,4","293,2","72,8","467,7","232,6","113,3","268,9","98,6","0,4729","0,3585","0,4331","0,3833","0,5127","0,3336",Fixation,1350.0,13.0,915.0,372.0,"0,4730","0,3445"
