Sensor,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
Eye Tracker,1608.0,962.0,1543.0,965.0,1674.0,958.0,"0,30156","0,46163","-0,83424","0,27038","0,45753","-0,84709",0,0,Valid,Valid,"240,7","-14,7","503,9","303,9","0,0","485,2","422,9","264,1","458,7","262,1","0,8903","0,8903","0,8509","0,8937","0,9296","0,8869",Fixation,167.0,14.0,1600.0,959.0,"0,8851","0,8881"
Eye Tracker,1608.0,965.0,1540.0,966.0,1676.0,963.0,"0,30030","0,46227","-0,83435","0,27113","0,45940","-0,84584",0,0,Valid,Valid,"240,7","-14,8","504,0","303,9","-0,1","485,4","422,1","264,5","459,4","263,6","0,8901","0,8933","0,8491","0,8948","0,9311","0,8917",Fixation,167.0,14.0,1600.0,959.0,"0,8851","0,8881"
Eye Tracker,1609.0,962.0,1540.0,959.0,1679.0,964.0,"0,30048","0,45992","-0,83557","0,27185","0,45958","-0,84551","4,11","4,03",Valid,Valid,"240,7","-14,8","504,0","303,9","-0,2","485,5","422,0","262,6","460,0","263,7","0,8907","0,8903","0,8489","0,8884","0,9325","0,8923",Fixation,167.0,14.0,1600.0,959.0,"0,8851","0,8881"
Eye Tracker,1603.0,960.0,1532.0,957.0,1674.0,963.0,"0,29750","0,45937","-0,83694","0,27003","0,45953","-0,84612",0,0,Valid,Valid,"240,8","-14,8","504,0","303,9","-0,3","485,6","419,9","261,8","458,9","263,5","0,8872","0,8886","0,8444","0,8857","0,9300","0,8914",Fixation,167.0,14.0,1600.0,959.0,"0,8851","0,8881"
Eye Tracker,1589.0,952.0,1508.0,941.0,1670.0,964.0,"0,28831","0,45520","-0,84242","0,26797","0,46028","-0,84637",0,0,Valid,Valid,"240,8","-14,9","504,1","303,9","-0,4","485,8","413,3","257,5","457,7","263,8","0,8786","0,8818","0,8297","0,8711","0,9274","0,8926",Fixation,167.0,14.0,1600.0,959.0,"0,8851","0,8881"
Eye Tracker,1588.0,953.0,1508.0,941.0,1668.0,964.0,"0,28819","0,45526","-0,84243","0,26690","0,46054","-0,84656","4,12","4,04",Valid,Valid,"240,8","-15,0","504,2","304,0","-0,5","485,9","413,3","257,5","457,2","263,9","0,8780","0,8820","0,8297","0,8711","0,9262","0,8928",Fixation,167.0,14.0,1600.0,959.0,"0,8851","0,8881"
Eye Tracker,1581.0,945.0,1500.0,931.0,1662.0,960.0,"0,28565","0,45207","-0,84501","0,26441","0,45930","-0,84802",0,0,Valid,Valid,"240,8","-15,1","504,2","304,0","-0,5","486,0","411,2","254,7","455,5","262,7","0,8739","0,8752","0,8252","0,8617","0,9225","0,8887",Saccade,8.0,16.0,0.0,0.0,0,0
Eye Tracker,1567.0,934.0,1482.0,922.0,1653.0,947.0,"0,27815","0,45021","-0,84849","0,26107","0,45488","-0,85143",0,0,Valid,Valid,"240,8","-15,2","504,3","304,0","-0,7","486,1","406,1","252,4","453,0","259,0","0,8655","0,8652","0,8140","0,8539","0,9170","0,8764",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1567.0,942.0,1492.0,936.0,1641.0,948.0,"0,28178","0,45452","-0,84499","0,25545","0,45631","-0,85237","4,11","4,08",Valid,Valid,"240,8","-15,3","504,4","304,0","-0,8","486,2","409,0","256,0","449,7","259,5","0,8651","0,8721","0,8204","0,8663","0,9098","0,8779",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1565.0,916.0,1476.0,909.0,1655.0,923.0,"0,27621","0,44585","-0,85143","0,26295","0,44606","-0,85550",0,0,Valid,Valid,"240,8","-15,4","504,5","304,0","-0,9","486,3","404,5","248,9","453,5","252,7","0,8642","0,8484","0,8104","0,8420","0,9180","0,8549",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1584.0,927.0,1513.0,923.0,1655.0,931.0,"0,29113","0,44895","-0,84480","0,26273","0,44895","-0,85406",0,0,Valid,Valid,"240,7","-15,5","504,7","304,0","-1,0","486,5","414,6","252,7","453,6","254,7","0,8756","0,8584","0,8328","0,8550","0,9184","0,8618",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1585.0,924.0,1512.0,921.0,1657.0,927.0,"0,29083","0,44813","-0,84534","0,26380","0,44763","-0,85442","4,13","4,08",Valid,Valid,"240,7","-15,7","504,9","304,0","-1,2","486,7","414,4","252,0","454,2","253,7","0,8760","0,8555","0,8322","0,8526","0,9197","0,8585",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1586.0,929.0,1517.0,927.0,1654.0,932.0,"0,29248","0,45011","-0,84372","0,26220","0,44975","-0,85380",0,0,Valid,Valid,"240,7","-15,8","504,9","303,9","-1,4","486,7","415,7","253,6","453,4","255,0","0,8765","0,8604","0,8351","0,8580","0,9179","0,8629",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1576.0,931.0,1497.0,931.0,1654.0,931.0,"0,28414","0,45286","-0,84509","0,26220","0,44961","-0,85387",0,0,Valid,Valid,"240,6","-16,0","505,1","303,9","-1,5","486,9","410,4","254,7","453,4","254,9","0,8707","0,8621","0,8235","0,8618","0,9179","0,8624",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1574.0,935.0,1494.0,935.0,1654.0,935.0,"0,28223","0,45477","-0,84470","0,26196","0,45114","-0,85314","4,19","4,11",Valid,Valid,"240,5","-16,2","505,3","303,9","-1,7","487,1","409,3","255,9","453,4","255,8","0,8695","0,8657","0,8211","0,8657","0,9180","0,8656",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1571.0,921.0,1493.0,907.0,1650.0,935.0,"0,28354","0,44457","-0,84969","0,26007","0,45151","-0,85352",0,0,Valid,Valid,"240,5","-16,3","505,4","303,8","-1,8","487,2","409,1","248,1","452,3","255,9","0,8680","0,8526","0,8206","0,8395","0,9154","0,8657",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1579.0,920.0,1502.0,907.0,1655.0,933.0,"0,28732","0,44441","-0,84850","0,26255","0,45052","-0,85329",0,0,Valid,Valid,"240,4","-16,5","505,6","303,7","-2,0","487,3","411,6","248,3","453,7","255,3","0,8722","0,8520","0,8260","0,8402","0,9185","0,8639",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1576.0,921.0,1502.0,907.0,1651.0,934.0,"0,28726","0,44453","-0,84845","0,26038","0,45124","-0,85357","4,14","4,10",Valid,Valid,"240,3","-16,7","505,8","303,7","-2,2","487,5","411,6","248,3","452,5","255,5","0,8709","0,8524","0,8260","0,8402","0,9158","0,8646",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1576.0,922.0,1497.0,909.0,1656.0,935.0,"0,28500","0,44544","-0,84874","0,26269","0,45137","-0,85279",0,0,Valid,Valid,"240,3","-16,8","505,9","303,7","-2,3","487,6","410,2","248,7","453,9","255,8","0,8709","0,8535","0,8229","0,8415","0,9189","0,8655",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1575.0,924.0,1495.0,911.0,1655.0,937.0,"0,28421","0,44632","-0,84854","0,26228","0,45224","-0,85246",0,0,Valid,Valid,"240,2","-17,0","506,1","303,6","-2,4","487,7","409,7","249,2","453,7","256,4","0,8702","0,8553","0,8219","0,8432","0,9184","0,8674",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1567.0,926.0,1495.0,911.0,1638.0,942.0,"0,28413","0,44644","-0,84850","0,25432","0,45527","-0,85325","4,17","4,13",Valid,Valid,"240,1","-17,2","506,4","303,6","-2,6","487,8","409,7","249,2","449,0","257,7","0,8651","0,8576","0,8219","0,8432","0,9082","0,8720",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1578.0,922.0,1498.0,912.0,1658.0,931.0,"0,28519","0,44685","-0,84793","0,26377","0,45023","-0,85307",0,0,Valid,Valid,"240,1","-17,4","506,5","303,5","-2,7","487,9","410,4","249,6","454,4","254,8","0,8718","0,8533","0,8236","0,8444","0,9200","0,8622",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1577.0,921.0,1496.0,911.0,1657.0,931.0,"0,28452","0,44659","-0,84830","0,26360","0,45023","-0,85311",0,0,Valid,Valid,"240,0","-17,5","506,7","303,5","-2,7","488,0","410,0","249,2","454,2","254,8","0,8711","0,8527","0,8225","0,8432","0,9197","0,8621",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1578.0,923.0,1496.0,911.0,1659.0,934.0,"0,28439","0,44673","-0,84826","0,26416","0,45158","-0,85223","4,17","4,12",Valid,Valid,"240,0","-17,7","506,9","303,5","-2,9","488,1","410,0","249,2","454,8","255,7","0,8717","0,8542","0,8225","0,8432","0,9208","0,8652",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1569.0,932.0,1493.0,914.0,1644.0,951.0,"0,28295","0,44804","-0,84805","0,25672","0,45865","-0,85073",0,0,Valid,Valid,"240,0","-17,9","507,1","303,4","-2,9","488,1","409,2","250,0","450,7","260,2","0,8663","0,8631","0,8208","0,8459","0,9119","0,8803",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1567.0,931.0,1490.0,910.0,1645.0,951.0,"0,28182","0,44718","-0,84889","0,25700","0,45860","-0,85067",0,0,Valid,Valid,"239,9","-18,1","507,3","303,3","-3,0","488,2","408,3","249,2","450,8","260,1","0,8655","0,8616","0,8188","0,8430","0,9122","0,8801",Fixation,158.0,15.0,1575.0,927.0,"0,8701","0,8579"
Eye Tracker,1561.0,913.0,1489.0,910.0,1633.0,916.0,"0,28205","0,44747","-0,84866","0,25406","0,44643","-0,85799","4,15","4,16",Valid,Valid,"239,6","-18,4","507,3","303,1","-3,4","488,1","408,2","249,1","447,7","250,6","0,8620","0,8454","0,8186","0,8428","0,9053","0,8480",Saccade,75.0,17.0,0.0,0.0,0,0
Eye Tracker,1479.0,852.0,1377.0,851.0,1582.0,854.0,"0,23702","0,43192","-0,87021","0,23462","0,42533","-0,87410",0,0,Valid,Valid,"239,1","-18,8","507,2","302,6","-3,7","488,0","377,3","232,9","433,6","233,7","0,8126","0,7893","0,7507","0,7880","0,8744","0,7907",Saccade,75.0,17.0,0.0,0.0,0,0
Eye Tracker,1339.0,738.0,1234.0,737.0,1445.0,739.0,"0,17704","0,39324","-0,90223","0,17437","0,38382","-0,90679",0,0,Valid,Valid,"238,7","-19,3","507,1","302,2","-4,2","487,8","338,2","201,7","396,0","202,3","0,7283","0,6834","0,6649","0,6824","0,7918","0,6843",Saccade,75.0,17.0,0.0,0.0,0,0
Eye Tracker,1204.0,589.0,1091.0,587.0,1316.0,592.0,"0,11219","0,33312","-0,93619","0,11361","0,32130","-0,94014","4,17","3,89",Valid,Valid,"238,3","-20,1","507,6","301,7","-4,9","488,0","299,1","160,5","360,6","161,9","0,6466","0,5454","0,5791","0,5431","0,7141","0,5477",Saccade,75.0,17.0,0.0,0.0,0,0
Eye Tracker,1087.0,486.0,975.0,471.0,1200.0,502.0,"0,05527","0,28158","-0,95794","0,05417","0,28023","-0,95840",0,0,Valid,Valid,"238,0","-20,5","507,7","301,2","-5,3","488,1","267,3","128,8","328,8","137,4","0,5767","0,4503","0,5091","0,4357","0,6442","0,4649",Saccade,75.0,17.0,0.0,0.0,0,0
Eye Tracker,990.0,404.0,885.0,382.0,1095.0,426.0,"0,00962","0,23964","-0,97081","-0,00169","0,24260","-0,97013",0,0,Valid,Valid,"237,6","-20,7","507,6","300,9","-5,6","488,3","242,7","104,6","300,1","116,5","0,5182","0,3741","0,4551","0,3541","0,5812","0,3942",Saccade,75.0,17.0,0.0,0.0,0,0
Eye Tracker,884.0,329.0,808.0,315.0,961.0,344.0,"-0,03104","0,20592","-0,97808","-0,07487","0,20007","-0,97692","4,03","4,15",Valid,Valid,"237,4","-20,7","507,6","300,7","-5,9","488,5","221,3","86,1","263,3","94,2","0,4543","0,3050","0,4083","0,2914","0,5004","0,3186",Saccade,75.0,17.0,0.0,0.0,0,0
Eye Tracker,864.0,312.0,766.0,284.0,962.0,339.0,"-0,05305","0,19052","-0,98025","-0,07422","0,19752","-0,97749",0,0,Valid,Valid,"237,4","-20,9","507,7","300,6","-6,1","488,7","210,0","77,8","263,5","92,7","0,4421","0,2884","0,3833","0,2632","0,5009","0,3136",Saccade,75.0,17.0,0.0,0.0,0,0
Eye Tracker,846.0,305.0,750.0,272.0,943.0,337.0,"-0,06129","0,18434","-0,98095","-0,08479","0,19677","-0,97678",0,0,Valid,Valid,"237,3","-21,0","507,8","300,8","-6,2","488,9","205,6","74,5","258,3","92,2","0,4316","0,2820","0,3737","0,2519","0,4895","0,3121",Saccade,75.0,17.0,0.0,0.0,0,0
Eye Tracker,842.0,298.0,756.0,260.0,928.0,336.0,"-0,05811","0,17806","-0,98230","-0,09286","0,19788","-0,97582","4,06","4,14",Valid,Valid,"237,3","-20,9","507,5","301,0","-7,5","490,8","207,3","71,1","254,3","92,0","0,4290","0,2760","0,3774","0,2407","0,4806","0,3113",Fixation,500.0,16.0,843.0,271.0,"0,4297","0,2509"
Eye Tracker,846.0,305.0,757.0,279.0,935.0,331.0,"-0,05792","0,18771","-0,98052","-0,08874","0,19579","-0,97662",0,0,Valid,Valid,"237,3","-20,7","507,3","300,9","-7,8","491,2","207,4","76,4","256,3","90,7","0,4313","0,2826","0,3776","0,2585","0,4851","0,3068",Fixation,500.0,16.0,843.0,271.0,"0,4297","0,2509"
Eye Tracker,846.0,283.0,755.0,249.0,937.0,317.0,"-0,05903","0,17261","-0,98322","-0,08808","0,18939","-0,97794",0,0,Valid,Valid,"237,2","-20,8","507,2","301,1","-8,4","492,1","206,8","68,3","256,8","86,9","0,4312","0,2624","0,3763","0,2310","0,4861","0,2939",Fixation,500.0,16.0,843.0,271.0,"0,4297","0,2509"
Eye Tracker,846.0,285.0,754.0,250.0,938.0,320.0,"-0,05912","0,17248","-0,98324","-0,08751","0,19150","-0,97758","4,07","4,15",Valid,Valid,"237,2","-20,7","507,0","301,2","-9,1","493,0","206,7","68,3","257,0","87,5","0,4314","0,2635","0,3762","0,2310","0,4867","0,2960",Fixation,500.0,16.0,843.0,271.0,"0,4297","0,2509"
Eye Tracker,936.0,316.0,0.0,0.0,936.0,316.0,0,0,0,"-0,08822","0,18981","-0,97785",0,0,Invalid,Valid,0,0,0,"301,2","-9,3","493,3",0,0,"256,7","86,5","0,4858","0,2926",0,0,"0,4858","0,2926",Fixation,500.0,16.0,843.0,271.0,"0,4297","0,2509"
Eye Tracker,844.0,305.0,755.0,286.0,934.0,324.0,"-0,05863","0,19129","-0,97978","-0,08966","0,19434","-0,97683",0,0,Valid,Valid,"237,2","-20,6","506,9","301,3","-9,6","493,8","206,9","78,4","256,0","88,6","0,4304","0,2825","0,3765","0,2651","0,4843","0,2998",Fixation,500.0,16.0,843.0,271.0,"0,4297","0,2509"
Eye Tracker,845.0,304.0,755.0,286.0,934.0,322.0,"-0,05855","0,19123","-0,97980","-0,08946","0,19384","-0,97695","4,03","4,15",Valid,Valid,"237,2","-20,6","506,9","301,4","-10,0","494,4","206,9","78,3","256,1","88,1","0,4306","0,2814","0,3766","0,2649","0,4846","0,2980",Fixation,500.0,16.0,843.0,271.0,"0,4297","0,2509"
Eye Tracker,845.0,307.0,754.0,288.0,935.0,326.0,"-0,05904","0,19214","-0,97959","-0,08889","0,19661","-0,97645",0,0,Valid,Valid,"237,3","-20,6","506,9","301,4","-10,4","495,0","206,8","78,8","256,4","89,3","0,4307","0,2844","0,3763","0,2667","0,4852","0,3020",Fixation,500.0,16.0,843.0,271.0,"0,4297","0,2509"
Eye Tracker,843.0,290.0,752.0,255.0,935.0,324.0,"-0,06027","0,17542","-0,98265","-0,08955","0,19600","-0,97651",0,0,Valid,Valid,"237,3","-20,6","506,8","301,6","-10,9","495,6","206,2","69,9","256,1","88,6","0,4299","0,2681","0,3750","0,2364","0,4847","0,2999",Fixation,500.0,16.0,843.0,271.0,"0,4297","0,2509"
Eye Tracker,844.0,289.0,753.0,255.0,935.0,323.0,"-0,06023","0,17543","-0,98265","-0,08932","0,19595","-0,97654","4,01","4,17",Valid,Valid,"237,3","-20,6","506,8","301,7","-11,3","496,3","206,3","69,9","256,3","88,3","0,4301","0,2675","0,3752","0,2364","0,4850","0,2986",Fixation,500.0,16.0,843.0,271.0,"0,4297","0,2509"
Eye Tracker,842.0,284.0,752.0,255.0,932.0,314.0,"-0,06076","0,17508","-0,98268","-0,09104","0,19204","-0,97716",0,0,Valid,Valid,"237,4","-20,5","506,7","301,8","-11,7","496,9","206,1","69,8","255,5","85,9","0,4290","0,2634","0,3748","0,2360","0,4832","0,2908",Fixation,500.0,16.0,843.0,271.0,"0,4297","0,2509"
