Sensor,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
1,870.0,498.0,713.0,490.0,1026.0,505.0,-0.0494,0.22596,-0.97288,-0.01794,0.22838,-0.97341,3.99,3.62,1,1,221.2,15.5,510.8,290.6,19.7,505.2,195.3,134.2,281.3,138.2,0.4455,0.4608,0.3511,0.454,0.54,0.4676,1,658.0,16.0,876.0,500.0,0.4497,0.4634
1,870.0,498.0,713.0,491.0,1027.0,504.0,-0.04932,0.22618,-0.97284,-0.01762,0.22798,-0.97351,0.0,0.0,1,1,221.3,15.6,510.7,290.7,19.7,505.1,195.4,134.3,281.5,138.0,0.4459,0.4607,0.3514,0.4544,0.5404,0.467,1,658.0,16.0,876.0,500.0,0.4497,0.4634
1,873.0,498.0,722.0,487.0,1024.0,508.0,-0.0447,0.22467,-0.97341,-0.01916,0.22956,-0.97311,0.0,0.0,1,1,221.3,15.5,510.7,290.6,19.7,505.1,197.8,133.4,280.7,138.9,0.4476,0.4607,0.3567,0.4514,0.5386,0.47,1,658.0,16.0,876.0,500.0,0.4497,0.4634
1,877.0,499.0,728.0,493.0,1025.0,504.0,-0.04143,0.22753,-0.97289,-0.0189,0.22792,-0.9735,4.15,3.55,1,1,221.3,15.5,510.7,290.7,19.7,505.1,199.6,134.9,280.9,138.0,0.4498,0.4616,0.3605,0.4565,0.539,0.4668,1,658.0,16.0,876.0,500.0,0.4497,0.4634
1,881.0,500.0,736.0,493.0,1027.0,507.0,-0.03766,0.22745,-0.97306,-0.01794,0.2295,-0.97314,0.0,0.0,1,1,221.4,15.6,510.7,290.7,19.8,505.0,201.6,134.9,281.4,138.9,0.4526,0.4632,0.365,0.4565,0.5402,0.4698,1,658.0,16.0,876.0,500.0,0.4497,0.4634
1,880.0,503.0,734.0,495.0,1026.0,511.0,-0.03845,0.22828,-0.97284,-0.01846,0.23108,-0.97276,0.0,0.0,1,1,221.3,15.5,510.6,290.7,19.8,504.9,201.2,135.3,281.1,139.8,0.4517,0.4654,0.3639,0.4579,0.5395,0.4728,1,658.0,16.0,876.0,500.0,0.4497,0.4634
1,878.0,505.0,730.0,497.0,1027.0,514.0,-0.04064,0.22929,-0.97251,-0.01776,0.23281,-0.97236,3.99,3.58,1,1,221.4,15.5,510.6,290.7,19.8,504.9,200.0,135.9,281.5,140.6,0.4509,0.4678,0.3615,0.4598,0.5403,0.4759,1,658.0,16.0,876.0,500.0,0.4497,0.4634
1,877.0,508.0,728.0,501.0,1025.0,516.0,-0.04159,0.23136,-0.97198,-0.01881,0.23363,-0.97214,0.0,0.0,1,1,221.4,15.6,510.5,290.7,19.9,504.7,199.5,137.1,280.9,141.2,0.4498,0.4707,0.3604,0.4638,0.5391,0.4776,1,658.0,16.0,876.0,500.0,0.4497,0.4634
1,877.0,507.0,727.0,504.0,1026.0,510.0,-0.04186,0.23273,-0.97164,-0.01813,0.23091,-0.97281,0.0,0.0,1,1,221.3,15.6,510.4,290.6,19.9,504.7,199.3,137.8,281.2,139.7,0.4498,0.4695,0.3599,0.4664,0.5397,0.4727,1,658.0,16.0,876.0,500.0,0.4497,0.4634
1,879.0,503.0,732.0,498.0,1025.0,508.0,-0.03948,0.23004,-0.97238,-0.01853,0.22959,-0.97311,4.13,3.67,1,1,221.3,15.6,510.4,290.6,19.9,504.6,200.6,136.3,281.0,138.9,0.451,0.4657,0.3627,0.4612,0.5393,0.4701,1,658.0,16.0,876.0,500.0,0.4497,0.4634
