Sensor,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
Eye Tracker,163.0,974.0,-46.0,964.0,372.0,983.0,"-0,40062","0,39679","-0,82587","-0,33219","0,41275","-0,84811",0,0,Valid,Valid,"228,8","24,8","497,8","296,9","26,9","497,7","-12,7","263,9","101,9","269,1","0,0202","0,9018",0,0,"0,1460","0,9106",Saccade,17.0,17.0,0.0,0.0,0,0
Eye Tracker,172.0,974.0,-32.0,967.0,375.0,981.0,"-0,39473","0,39864","-0,82781","-0,33110","0,41221","-0,84880","4,87","4,83",Valid,Valid,"228,7","24,8","497,7","296,9","26,9","497,8","-8,7","264,5","102,7","268,6","0,0255","0,9019",0,0,"0,1477","0,9088",Unclassified,33.0,8.0,0.0,0.0,0,0
Eye Tracker,177.0,972.0,-25.0,967.0,378.0,976.0,"-0,39238","0,39922","-0,82865","-0,33000","0,41033","-0,85013",0,0,Valid,Valid,"228,9","24,9","497,6","296,9","26,9","497,8","-6,7","264,7","103,7","267,2","0,0287","0,8997",0,0,"0,1499","0,9039",Unclassified,33.0,8.0,0.0,0.0,0,0
Eye Tracker,175.0,971.0,-27.0,967.0,377.0,975.0,"-0,39316","0,39910","-0,82834","-0,33057","0,40979","-0,85018",0,0,Valid,Valid,"228,8","25,0","497,5","296,8","26,9","497,8","-7,3","264,7","103,3","266,8","0,0275","0,8992",0,0,"0,1490","0,9028",Unclassified,33.0,8.0,0.0,0.0,0,0
Eye Tracker,170.0,968.0,-41.0,962.0,380.0,973.0,"-0,39886","0,39620","-0,82700","-0,32928","0,40917","-0,85098","4,90","4,78",Valid,Valid,"228,7","25,1","497,3","296,8","26,9","497,9","-11,2","263,4","104,1","266,3","0,0243","0,8961",0,0,"0,1509","0,9009",Unclassified,33.0,8.0,0.0,0.0,0,0
Eye Tracker,163.0,968.0,-52.0,960.0,379.0,977.0,"-0,40346","0,39443","-0,82562","-0,32965","0,41047","-0,85020",0,0,Valid,Valid,"228,8","25,3","497,1","296,8","26,9","497,8","-14,1","262,8","103,8","267,3","0,0206","0,8967",0,0,"0,1501","0,9044",Saccade,17.0,18.0,0.0,0.0,0,0
Eye Tracker,136.0,954.0,-105.0,928.0,377.0,979.0,"-0,42572","0,37823","-0,82201","-0,32979","0,41134","-0,84972",0,0,Valid,Valid,"228,6","25,4","496,9","296,7","27,0","497,8","-28,7","254,1","103,5","268,0","0,0043","0,8831",0,0,"0,1494","0,9066",Saccade,17.0,18.0,0.0,0.0,0,0
Eye Tracker,135.0,954.0,-105.0,928.0,376.0,980.0,"-0,42563","0,37823","-0,82206","-0,33029","0,41156","-0,84943","4,89","4,82",Valid,Valid,"228,4","25,5","496,8","296,6","27,0","497,9","-28,8","254,1","103,0","268,2","0,0038","0,8835",0,0,"0,1485","0,9074",Unclassified,8.0,9.0,0.0,0.0,0,0
Eye Tracker,136.0,955.0,-85.0,932.0,358.0,979.0,"-0,41849","0,38092","-0,82448","-0,33764","0,40987","-0,84735",0,0,Valid,Valid,"228,6","25,7","496,6","296,6","27,0","497,8","-23,4","255,1","98,2","267,8","0,0044","0,8847",0,0,"0,1380","0,9062",Saccade,17.0,19.0,0.0,0.0,0,0
Eye Tracker,168.0,969.0,-22.0,964.0,359.0,973.0,"-0,39199","0,39782","-0,82951","-0,33757","0,40778","-0,84839",0,0,Valid,Valid,"228,5","25,8","496,4","296,5","27,0","497,8","-6,1","263,9","98,4","266,3","0,0236","0,8969",0,0,"0,1383","0,9011",Saccade,17.0,19.0,0.0,0.0,0,0
Eye Tracker,159.0,967.0,-40.0,959.0,359.0,974.0,"-0,39920","0,39462","-0,82759","-0,33763","0,40807","-0,84823","4,90","4,83",Valid,Valid,"228,4","25,9","496,3","296,5","27,0","497,8","-11,0","262,5","98,3","266,5","0,0181","0,8949",0,0,"0,1381","0,9017",Unclassified,8.0,10.0,0.0,0.0,0,0
Eye Tracker,163.0,965.0,-46.0,954.0,372.0,975.0,"-0,40217","0,39218","-0,82732","-0,33224","0,40917","-0,84982",0,0,Valid,Valid,"228,5","26,2","495,7","296,4","27,1","497,7","-12,5","261,2","101,8","266,7","0,0203","0,8931",0,0,"0,1459","0,9024",Saccade,17.0,20.0,0.0,0.0,0,0
